epoch,loss,val_loss
0,520.1369239127282,483.3193054199219
1,485.41502455909654,473.5293884277344
2,478.1355533411007,469.5194396972656
3,474.5999613846883,467.9905090332031
4,471.9708859283145,465.77520751953125
5,468.91945595316366,462.9876708984375
6,465.59723655776224,459.5860595703125
7,462.6464112536742,458.54180908203125
8,460.54268230778155,455.8066711425781
9,458.46280300027075,455.0879211425781
10,456.5379233785195,453.5588684082031
11,455.56425309889386,453.2420654296875
12,454.9777091753365,450.6174621582031
13,453.19867094436495,450.95538330078125
14,452.45947960579747,449.25079345703125
15,451.7279635892056,448.4529113769531
16,450.98865622341043,447.6294860839844
17,450.33201372505414,448.0521240234375
18,449.9807884291847,448.36444091796875
19,449.70275606967436,447.7009582519531
20,449.12545655505494,445.45751953125
21,448.561055400584,444.5657043457031
22,448.2612984534537,446.9969482421875
23,448.01857765122213,444.8174743652344
24,447.77969602074955,445.3274230957031
25,447.4032586730353,444.0214538574219
26,447.1128023355314,444.4471740722656
27,446.80760902933554,443.2354431152344
28,446.57599179107365,443.9225769042969
29,446.2887476552831,441.7676696777344
30,445.71237635848547,442.6910095214844
31,445.7185617579092,441.9953918457031
32,445.4769226678527,442.08123779296875
33,445.3495501527692,441.0577087402344
34,445.2558409435914,440.9494934082031
35,444.9183561117342,440.2605285644531
36,444.7898305760752,440.7683410644531
37,444.5969700577235,440.5727844238281
38,444.6726893056737,439.8245849609375
39,444.62920356977105,438.5599670410156
40,444.28968100972696,440.12969970703125
41,444.4286372118657,439.2916259765625
42,443.98558542988087,441.0600280761719
43,443.9029586338761,439.0035095214844
44,443.5237248486812,438.6464538574219
45,443.75313122437734,438.0829162597656
46,443.4730076553798,438.8893737792969
47,443.3222073092319,438.1737976074219
48,443.1073369696589,437.9920654296875
49,442.96845268022895,437.9180603027344
